input_txt,target_txt,q_id,a_id,target_all_labels,dataset
"What are the glaring holes in the data supporting global warming? [2] But there are two main problems: the fact that it's hard to make accurate predictions about the weather and the fact that the data supports predictions about the weather that were wrong decades ago. [3] There are many factors that can cause the data to be wrong, and some of them can be solved in certain ways. [4] But we don't know how to fix all of them. [5] The two biggest problems are that the predictions that are made are not always accurate. [6] The weather is complicated, and we can't predict everything. [7] So the predictions that are made about it are usually wrong. [8] We can't make a new prediction about it that's more accurate, because there's always a chance that the predictions that were wrong will be wrong in the future. [12] They are not very accurate, but they're good enough for our purposes. [13] We don't need to know everything.",[2] Answer (Summary) [3] Answer [4] Answer [5] Answer [6] Answer [7] Answer [8] Answer [12] Miscellaneous [13] Miscellaneous,126etf,p60_predicted,"[2] Answer (Summary) [3] Answer,Auxiliary Information [4] Answer,Auxiliary Information [5] Answer [6] Answer [7] Answer [8] Answer,Miscellaneous [12] Answer,Miscellaneous [13] Miscellaneous",model_generated
"What are the glaring holes in the data supporting global warming? [1] The main ones are the increasing rates of carbon emissions, and the fact that the oceans are warming. [3] But the ""holes"" in data support both of these things, and there is no clear indication that they are the cause of any of the other problems. [4] It's possible that there is a subtle connection, but it's not really clear if it's a factor or not. [5] There's also a suggestion that the ""Global Warming"" may be a consequence of human activities, but that's a bit more speculative. [7] It's certainly not an instant, predictable process, and it's hard to say what those things are going to do. [8] There's a bit of a mystery surrounding what those things are doing, and the scientific community doesn't really have a clear answer to that question. [9] And it's hard to say if they're going to change, because we don't know what we're doing right now. [10] There's no clear evidence that we're doing anything, and no clear evidence that anything will change.",[1] Answer (Summary) [3] Answer [4] Answer [5] Answer (Summary) [7] Answer [8] Answer [9] Answer [10] Answer,126etf,p60_random,"[1] Answer (Summary) [3] Answer,Answer (Summary) [4] Answer,Auxiliary Information [5] Answer,Answer (Summary) [7] Answer,Answer (Summary) [8] Answer [9] Answer,Auxiliary Information [10] Answer",model_generated
How should I store my money? [1] One of the best advice I ever found was: Put it in a savings account and forget about it. [3] This is for your future self.,[1] Answer (Summary) [3] Auxiliary Information,14qyvr,p90_predicted,"[1] Answer (Summary) [3] Auxiliary Information,Miscellaneous",model_generated
"How did South Korea go from being a completely backwards and impoverished nation to one of the world's top economies in 60 years? [1] 1) World War II reduced spending on everything and the Korean war caused most of the country's GDP to shrink. [3] 2) After the war the government basically tried to crack down on corruption, which resulted in a strong economy and 2/3rds of the country's GDP rebounding from the Korean debt. [4] 3) The Korean educational system was incredibly well-funded. [5] Schools throughout the country got grants from the government. [6] With the help of wealthy American donors, schools were built by students for free. [7] 4) With the help of America and the USSR, much of North Korea's GDP recovered. [9] After the Korean war, North Korea started to improve again. [10] One of the things they did, however, was remove all the investment banks from South Korea and start diversifying their economy again through banking and private companies.",[1] Auxiliary Information [3] Answer (Summary) [4] Answer [5] Answer [6] Answer [7] Answer (Summary) [9] Auxiliary Information [10] Answer (Summary),19jyp2,p90_predicted,"[1] Answer (Summary),Auxiliary Information [3] Answer (Summary) [4] Answer,Answer (Summary) [5] Answer,Auxiliary Information [6] Answer [7] Answer (Summary),Auxiliary Information [9] Answer,Auxiliary Information [10] Answer (Summary)",model_generated
"When we need to sneeze, how does looking into the light help? [1] It's an evolutionary adaptation. [2] In the past, it was advantageous to be able to see in bright light, so that your eyes would be protected. [4] The instinct to sneeze is so deeply ingrained in our brains that we can't help but start to sneeze when we look at something bright. [5] By looking at something bright, you are forcing your eyes to focus on something else, which in turn triggers the reflex to sneeze. [9] It makes your eyes focus on something else, but the reflex to sneeze is still triggered. [10] This is why when you stare at a bright light, you don't sneeze. [11] It just makes your eyes focus on something else, and you don't feel the urge to sneeze.",[1] Answer [2] Auxiliary Information [4] Answer [5] Answer (Summary) [9] Answer [10] Answer [11] Answer,1bshv4,p60_random,"[1] Answer,Auxiliary Information [2] Answer,Auxiliary Information [4] Answer,Auxiliary Information [5] Answer,Answer (Summary) [9] Answer,Miscellaneous [10] Answer,Miscellaneous [11] Answer,Miscellaneous",model_generated
"Why does NASA wants to catch an asteroid and have it circulate the moon? [1] There are a few reasons, but I'll list a few: 1. It's a way to track exoplanets that pass close to Earth. [2] It's easier to track exoplanets that pass near other planets, because they're easier to track, but also easier to track if they pass near other planets. [3] This allows the scientists to make sure they're in the right place at the right time. [4] 2. It's a way to study exoplanets that pass close to Earth. [5] This helps the scientists to learn more about them, because it's more difficult to study something that's so far away. [6] This is also why it's so hard to track exoplanets that pass close to Earth. [7] They're too far away, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small, too small.",[1] Answer (Summary) [2] Answer [3] Answer [4] Answer (Summary) [5] Answer [6] Auxiliary Information [7] Miscellaneous,1cbmap,p60_predicted,"[1] Answer,Answer (Summary) [2] Answer [3] Answer [4] Answer,Answer (Summary) [5] Answer,Answer (Summary) [6] Auxiliary Information,Miscellaneous [7] Auxiliary Information,Miscellaneous",model_generated
"Why do maps always start with North America on the left and end with Asia on the right? [1] Because the early cartographers were Europeans, and the west was largely dominated by European cultures. [2] So it makes sense to have the western half of the map drawn from Europe, since the Europeans have been dominant for a long time. [3] The rest of the world was pretty much ignored by the Europeans, so they drew the map accordingly. [4] If you look at a lot of early maps, you'll see that the Western half of the map is usually drawn in the middle of the map, with Europe on the left, and Asia on the right. [5] So, the reason for this is that the Europeans were the dominant culture in Europe, and therefore the maps that used to be drawn were drawn to reflect that fact. [6] The problem is that there are some cultures that still don't use Europe as their main cultural center, and they still draw their maps from the western half of the map. [7] For example, Japan, which has always been a relatively minority culture, doesn't have a west-to-east map because it uses a different cultural center. [8] And it doesn't have a center-to-east map because they don't have a central-to-east map because they don't have a central-to-east culture.",[1] Answer (Summary) [2] Answer [3] Answer [4] Auxiliary Information [5] Answer [6] Auxiliary Information [7] Answer - Example [8] Auxiliary Information,1cdojs,p60_predicted,"[1] Answer (Summary) [2] Answer [3] Answer,Answer (Summary) [4] Answer,Auxiliary Information [5] Answer,Auxiliary Information [6] Answer,Auxiliary Information [7] Answer - Example,Auxiliary Information [8] Answer - Example,Auxiliary Information",model_generated
"Why do maps always start with North America on the left and end with Asia on the right? [1] Because the way the world was colonized, it was a western country. [2] So you have the western hemisphere (Europe, Asia, Africa) and the eastern hemisphere (America, Asia, Europe). [3] Because the world was largely western, the map would have drawn the western hemisphere (and thus, the Americas) to the top. [4] Because of this, the middle of the map is the ""East"" side of the map, and the top is the ""West"" side. [6] But that's how it was done, and that's how it's done in most countries. [7] I don't know why the English chose to put the centre at the top of the map, but I'm sure they had to because that's how they did it. [8] And it's how the world was usually understood to be, so it makes sense to put the center there, since that's where people had been accustomed to seeing the world. [9] And that's the reason why the world maps are drawn in Europe, Asia, and Africa. [10] They were arbitrarily drawn by the Europeans, and not the Asians, Africans, or Indians.",[1] Answer (Summary) [2] Auxiliary Information [3] Answer (Summary) [4] Answer [6] Answer [7] Miscellaneous [8] Answer [9] Auxiliary Information [10] Answer (Summary),1cdojs,p60_random,"[1] Answer (Summary),Miscellaneous [2] Auxiliary Information,Miscellaneous [3] Answer (Summary),Miscellaneous [4] Answer,Miscellaneous [6] Answer,Auxiliary Information [7] Miscellaneous [8] Answer [9] Auxiliary Information [10] Answer (Summary),Auxiliary Information",model_generated
"Do animals know they're going to die? [1] I read an article about this once, I can't find it now, but I remember reading about a dog that had been put into a room with a vacuum cleaner, and it didn't notice it was sucking in air, it just started sucking in air as normal. [3] So it was just sucking in air. [4] Then, the dog got out of the room and began running around the house, running into things and being hurt. [5] It eventually just died of exhaustion. [6] So, no, they don't know. [7] But it is interesting to think about. [8] It might have just been a part of their routine, or it might have been a learned behavior, or it might have been something they did because it was the only way they could do it, and they figured it out, and it was just a part of their routine, and they thought it was cool. [9] I remember reading about this, so if anyone knows anything about this, please let me know. [10] Also, I can't find the article now, so I apologize if I didn't do it right. [11] It's been a while since I read it, but I hope it's still okay and relevant to the topic.",[1] Answer - Example [3] Answer - Example [4] Answer - Example [5] Answer - Example [6] Answer (Summary) [7] Miscellaneous [8] Answer [9] Miscellaneous [10] Miscellaneous [11] Miscellaneous,1dvkc7,p60_predicted,"[1] Answer - Example,Miscellaneous [3] Answer - Example,Auxiliary Information [4] Answer,Answer - Example [5] Answer,Answer - Example [6] Answer (Summary) [7] Auxiliary Information,Miscellaneous [8] Answer,Auxiliary Information [9] Miscellaneous [10] Miscellaneous [11] Miscellaneous",model_generated
"What do business people actually do all day? [1] Well, the major ones are meeting with clients, paying for their product, or dealing with financial issues. [2] The smaller ones are simply dealing with their employees, and maybe maybe the occasional consultant or executive if they have a meeting with a board or the like. [3] They might be sitting in their offices, meeting with people, doing presentations, or even talking to staff, or at least in their offices. [4] Most of the time, they're not doing anything that's immediately obvious, because most of the time they're sitting at their desks doing nothing. [5] If they have to be somewhere, they'll go to a meeting, or maybe they'll do a presentation on their phone or computer, or maybe they'll do a presentation in their offices, or maybe they'll just hang out in a hotel or wherever they happen to be. [6] For a typical business, most of the time, they're not actually doing anything. [7] Most of the time, they're sitting at their desks, or just doing their regular business. [8] For a really big business, they might be running their business, or they might be having a meeting with clients or even a meeting with staff.",[1] Answer (Summary) [2] Answer (Summary) [3] Answer (Summary) [4] Answer (Summary) [5] Answer [6] Answer [7] Answer [8] Answer,1ep39o,p60_random,"[1] Answer (Summary) [2] Answer (Summary) [3] Answer,Answer (Summary) [4] Answer,Answer (Summary) [5] Answer [6] Answer,Miscellaneous [7] Answer,Miscellaneous [8] Answer,Miscellaneous",model_generated
