input_txt,target_txt
"why is the cockerel the symbol of france [1] Its association with France dates back from the Middle Age and is due to the play on words in Latin between Gallus , meaning an inhabitant of Gaul , and gallus , meaning rooster , or cockerel . [2] Its use , by the enemies of France , dates to this period , originally a pun to make fun of the French , the association between the rooster and the Gauls / French was developed by the kings of France for the strong Christian symbol that the rooster represents : prior to being arrested , Jesus predicted that Peter would deny him three times before the rooster crowed on the following morning . [3] At the rooster 's crowing , Peter remembered Jesus 's words . [4] Its crowing at the dawning of each new morning made it a symbol of the daily victory of light over darkness and the triumph of good over evil . [5] It is also an emblem of the Christian 's attitude of watchfulness and readiness for the sudden return of Christ , the resurrection of the dead , and the final judgment of humankind . [6] That is why , during the Renaissance , the rooster became a symbol of France as a Catholic state and became a popular Christian image on weather vanes , also known as weathercocks .",[1] Answer (Summary) [2] Answer [3] Auxiliary Information [4] Answer (Summary) [5] Answer (Summary) [6] Answer (Summary)
"what is the difference between bespoke and made to measure [1] Made to measure ( MTM ) typically refers to custom clothing that is cut and sewn using a standard - sized base pattern . [2] Suits and sport coats are the most common garments made - to - measure . [3] The fit of a made - to - measure garment is expected to be superior to that of a ready - to - wear garment because made - to - measure garments are constructed to fit each customer individually based on a few body measurements to customize the pre-existing pattern . [4] Made - to - measure garments always involve some form of standardization in the pattern and manufacturing , whereas bespoke tailoring is entirely made from scratch based on a customer 's specifications with far more attention to minute fit details and using multiple fittings during the construction process . [5] All else being equal , a made - to - measure garment will be more expensive than a ready - to - wear garment but cheaper than a bespoke one . `` Custom made '' most often refers to MTM . [6] Country of origin makes a difference in pricing , with made in China MTM garments typically priced below made in Italy ready - to - wear .",[1] Answer [2] Answer - Example [3] Answer [4] Answer (Summary) [5] Answer (Summary) [6] Auxiliary Information
"why is there no water in earth wind and fire [1] Maurice 's astrological sign , Sagittarius , has a primary elemental quality of Fire and seasonal qualities of Earth and Air , according to classical triplicities . ( Sagittarius in the northern hemisphere occurs in the autumn , whose element is earth , and in the southern hemisphere , it is spring , whose element is air . [2] Hence the omission of Water , the fourth classical element . ) [3] Based on this , he changed the band 's name , to `` Earth , Wind & Fire '' . [4] Maurice held further auditions in L.A. adding Michael Beale on guitar , Chester Washington on reeds , and Leslie Drayton on trumpet ; Drayton also served as the group 's musical arranger . [5] Trombonist Alex Thomas completed the then ten - man EWF lineup .",[1] Answer (Summary) [2] Answer (Summary) [3] Answer [4] Auxiliary Information [5] Auxiliary Information
"what do you hear when you put a shell to your ear [1] The rushing sound that one hears is in fact the noise of the surrounding environment , resonating within the cavity of the shell . [2] The same effect can be produced with any resonant cavity , such as an empty cup or even by simply cupping one 's hand over one 's ear . [3] The similarity of the noise produced by the resonator to that of the oceans is due to the resemblance between ocean movements and airflow .",[1] Answer (Summary) [2] Auxiliary Information [3] Answer
"why is ireland not a member of the commonwealth [1] On 18 April 1949 , Ireland formally became a republic in accordance with the Irish Republic of Ireland Act 1948 . [2] Because it did this , it was automatically excluded from the Commonwealth . [3] While Ireland had not actively participated in the Commonwealth since the early 1930s and was content to leave the Commonwealth , other dominions wished to become republics without losing Commonwealth ties . [4] The issue came to a head in April 1949 at a Commonwealth prime ministers ' meeting in London . [5] Under the London Declaration , India agreed that , when it became a republic in January 1950 , it would accept the British Sovereign as a `` symbol of the free association of its independent member nations and as such the Head of the Commonwealth '' . [6] Upon hearing this , King George VI told the Indian politician Krishna Menon : `` [7] So , I 've become ' as such ' '' . [8] The other Commonwealth countries recognised India 's continuing membership of the association . [9] At Pakistan 's insistence , India was not regarded as an exceptional case and it was assumed that other states would be accorded the same treatment as India . [10] Ireland had withdrawn its participation in the Commonwealth in the 1930s , attending its last Commonwealth governmental heads ' meeting in 1932 . [11] However it continued to be regarded by the Commonwealth as a Commonwealth member until it declared itself a republic , on 18 April 1949 . [12] It is the only country whose membership terminated without any declaration withdrawing from the organisation . [13] Instead , it was ( with its own tacit support ) excluded from the organisation under the rules then applicable .",[1] Answer (Summary) [2] Answer (Summary) [3] Auxiliary Information [4] Auxiliary Information [5] Auxiliary Information [6] Auxiliary Information [7] Auxiliary Information [8] Auxiliary Information [9] Auxiliary Information [10] Answer [11] Answer [12] Auxiliary Information [13] Answer
"what's the difference between a camel and dromedary [1] A camel is an even - toed ungulate in the genus Camelus , bearing distinctive fatty deposits known as `` humps '' on its back . [2] The three surviving species of camel are the dromedary , or one - humped camel ( C. dromedarius ) , which inhabits the Middle East and the Horn of Africa ; the Bactrian , or two - humped camel ( C. bactrianus ) , which inhabits Central Asia ; and the critically endangered wild Bactrian camel ( C. ferus ) that has limited populations in remote areas of northwest China and Mongolia . [3] Bactrian camels take their name from the historical Bactria region of Central Asia . [4] Additionally one other species of camel in the separate genus Camelops , C. hesternus lived in western North America and became extinct when humans entered the continent at the end of the Pleistocene . [5] Both the dromedary and the Bactrian camels have been domesticated ; they provide milk , meat , hair for textiles or goods such as felted pouches , and are working animals with tasks ranging from human transport to bearing loads .",[1] Answer [2] Answer (Summary) [3] Auxiliary Information [4] Auxiliary Information [5] Auxiliary Information
"what is the different between an atom and an ion [1] An ion ( / ˈaɪən , - ɒn / ) is an atom or molecule that has a non-zero net electrical charge ( its total number of electrons is not equal to its total number of protons ) . [2] A cation is a positively - charged ion , while an anion is negatively charged . [3] Because of their opposite electric charges , cations and anions attract each other and readily form ionic compounds , such as salts .",[1] Answer (Summary) [2] Auxiliary Information [3] Auxiliary Information
"how does the word crucible related to the book crucible [1] Miller originally called the play Those Familiar Spirits before renaming it as The Crucible . [2] The word `` crucible '' is defined as a severe test or trial ; alternately , a container in which metals or other substances are subjected to high temperatures . [3] The characters whose moral standards prevail in the face of death , such as John Proctor and Rebecca Nurse , symbolically refuse to sacrifice their principles or to falsely confess .",[1] Auxiliary Information [2] Answer (Summary) [3] Answer (Summary)
"what does it mean to speak in hyperbole [1] Hyperbole may also be used for instances such as , exaggerations for emphasis or effect . [2] Hyperboles are often used in casual speech as intensifiers , such as saying `` the bag weighed a ton '' . [3] Hyperbole makes the point that the speaker found the bag to be extremely heavy , although it was nothing like a literal ton . [4] Understanding hyperboles and their use in context can further one 's ability to understand the messages being sent from the speaker . [5] The use of hyperboles generally relays feelings or emotions from the speaker , or from those who the speaker may talk about . [6] Hyperbole can be used in a form of humour , excitement , distress , and many other emotions , all depending on the context in which the speaker uses it .",[1] Answer (Summary) [2] Answer - Example [3] Answer - Example [4] Auxiliary Information [5] Answer (Summary) [6] Answer
"what is the difference between burpless cucumbers and regular cucumbers [1] Burpless cucumbers are sweeter and have a thinner skin than other varieties of cucumber . [2] They are reputed to be easy to digest and to have a pleasant taste . [3] They can grow as long as 2 feet ( 0.61 m ) , are nearly seedless , and have a delicate skin . [4] Most commonly grown in greenhouses , these parthenocarpic cucumbers are often found in grocery markets , shrink - wrapped in plastic . [5] They are sometimes marketed as seedless or burpless , because the seeds and skin of other varieties of cucumbers are said to give some people gas .",[1] Answer (Summary) [2] Answer [3] Auxiliary Information [4] Auxiliary Information [5] Answer (Summary)
